Date,BAC,JPM,Residual,Rolling_Hedge_Ratio,Spread,Z_Score,Signal,PNL,Equity,DrawDown_%
2014-04-09,13.320037841796875,44.123497009277344,-7.406550139273463,0.0,44.123497009277344,,0,0.0,100000.0,0.0
2014-04-10,12.919316291809082,42.731380462646484,-7.270094973484284,0.0,42.731380462646484,,0,0.0,100000.0,0.0
2014-04-11,12.638808250427246,41.168025970458984,-7.7634379896838155,0.0,41.168025970458984,,0,0.0,100000.0,0.0
2014-04-14,12.823142051696777,40.914913177490234,-8.719700973282556,0.0,40.914913177490234,,0,0.0,100000.0,0.0
2014-04-15,13.135702133178711,40.79579544067383,-10.031094241573477,0.0,40.79579544067383,,0,0.0,100000.0,0.0
2014-04-16,12.927330017089844,41.13824462890625,-8.89379954947372,0.0,41.13824462890625,,0,0.0,100000.0,0.0
2014-04-17,12.943359375,41.10847854614258,-8.984710392409305,0.0,41.10847854614258,,0,0.0,100000.0,0.0
2014-04-21,12.895271301269531,40.96702194213867,-8.94273271589747,0.0,40.96702194213867,,0,0.0,100000.0,0.0
2014-04-22,13.055562973022461,41.54769515991211,-8.973499824169664,0.0,41.54769515991211,,0,0.0,100000.0,0.0
2014-04-23,13.119680404663086,41.72636032104492,-9.039413703724506,0.0,41.72636032104492,,0,0.0,100000.0,0.0
2014-04-24,13.095633506774902,41.830596923828125,-8.843449047173166,0.0,41.830596923828125,,0,0.0,100000.0,0.0
2014-04-25,12.783068656921387,41.46580505371094,-8.01594719663207,0.0,41.46580505371094,,0,0.0,100000.0,0.0
2014-04-28,11.981622695922852,41.30947494506836,-5.115122966924297,0.0,41.30947494506836,,0,0.0,100000.0,0.0
2014-04-29,12.214042663574219,41.763572692871094,-5.54760241459379,0.0,41.763572692871094,,0,0.0,100000.0,0.0
2014-04-30,12.13389778137207,41.67424774169922,-5.331210840579608,0.0,41.67424774169922,,0,0.0,100000.0,0.0
2014-05-01,12.093828201293945,41.48069763183594,-5.37191360136012,0.0,41.48069763183594,,0,0.0,100000.0,0.0
2014-05-02,12.222057342529297,41.37646484375,-5.96528264380084,0.0,41.37646484375,,0,0.0,100000.0,0.0
